GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator.parser,ConfigParser,472,0,34,0,104,0,31,0,14,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.file,FileRouterFactory,74,0,4,0,21,0,5,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator.override,OverrideConfiguratorFactory,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator.override,OverrideConfigurator,9,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator.parser.model,ConfiguratorConfig,42,0,0,0,17,0,11,0,11,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator.parser.model,ConfigItem,59,0,0,0,25,0,17,0,17,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster,Router,13,0,2,0,4,0,3,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster,CacheableRouterFactory,28,0,0,0,4,0,3,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster,Configurator,94,0,12,0,26,0,8,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster,RouterChain,117,0,4,0,32,0,11,0,9,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router,AbstractRouterRule,81,0,0,0,33,0,19,0,19,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router,AbstractRouter,51,0,0,0,20,0,10,0,10,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support.wrapper,MockClusterWrapper,15,0,0,0,5,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.support.wrapper,MockClusterInvoker,277,0,22,0,56,0,22,0,11,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.mock,MockRouterFactory,7,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.router.mock,MockInvokersSelector,134,0,24,0,36,0,17,0,5,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator.absent,AbsentConfigurator,9,0,0,0,3,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.configurator.absent,AbsentConfiguratorFactory,8,0,0,0,2,0,2,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.loadbalance,ConsistentHashLoadBalance.ConsistentHashSelector,250,0,16,0,39,0,14,0,6,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.loadbalance,AbstractLoadBalance,92,0,18,0,17,0,13,0,4,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.loadbalance,ConsistentHashLoadBalance,63,0,4,0,10,0,4,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.loadbalance,LeastActiveLoadBalance,143,0,24,0,36,0,14,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.loadbalance,RoundRobinLoadBalance,225,0,24,0,52,0,15,0,3,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.loadbalance,RandomLoadBalance,90,0,14,0,20,0,9,0,2,0
dubbo-metadata-report-api/dubbo-cluster,org.apache.dubbo.rpc.cluster.loadbalance,RoundRobinLoadBalance.WeightedRoundRobin,43,0,0,0,12,0,7,0,7,0
